ranking_year,semester,ranking_date,rank,team,team_norm,acronym,total_points,previous_points,diff_points
1992,2,1992-12-31,88,Bahrain,bahrain,BHR,13.0,0.0,13.0
1992,2,1992-12-31,88,Singapore,singapore,SGP,13.0,0.0,13.0
1992,2,1992-12-31,88,Congo,congo,CGO,13.0,0.0,13.0
1992,2,1992-12-31,88,Malaysia,malaysia,MAS,13.0,0.0,13.0
1992,2,1992-12-31,92,Uganda,uganda,UGA,12.0,0.0,12.0
1992,2,1992-12-31,92,Lithuania,lithuania,LTU,12.0,0.0,12.0
1992,2,1992-12-31,92,Faroe Islands,faroe islands,FRO,12.0,0.0,12.0
1992,2,1992-12-31,92,Suriname,suriname,SUR,12.0,0.0,12.0
1992,2,1992-12-31,96,Syria,syria,SYR,11.0,0.0,11.0
1992,2,1992-12-31,96,Burkina Faso,burkina faso,BFA,11.0,0.0,11.0
1992,2,1992-12-31,98,Latvia,latvia,LVA,10.0,0.0,10.0
1992,2,1992-12-31,98,Burundi,burundi,BDI,10.0,0.0,10.0
1992,2,1992-12-31,98,Togo,togo,TOG,10.0,0.0,10.0
1992,2,1992-12-31,98,Angola,angola,ANG,10.0,0.0,10.0
1992,2,1992-12-31,98,Luxembourg,luxembourg,LUX,10.0,0.0,10.0
1992,2,1992-12-31,98,Eswatini,eswatini,SWZ,10.0,0.0,10.0
1992,2,1992-12-31,104,St. Vincent and the Grenadines,st vincent and the grenadines,VIN,9.0,0.0,9.0
1992,2,1992-12-31,104,Fiji,fiji,FIJ,9.0,0.0,9.0
1992,2,1992-12-31,104,Mozambique,mozambique,MOZ,9.0,0.0,9.0
1992,2,1992-12-31,104,Indonesia,indonesia,IDN,9.0,0.0,9.0
1992,2,1992-12-31,108,Antigua and Barbuda,antigua and barbuda,ATG,8.0,0.0,8.0
1992,2,1992-12-31,108,Jordan,jordan,JOR,8.0,0.0,8.0
1992,2,1992-12-31,110,Sudan,sudan,SDN,7.0,0.0,7.0
1992,2,1992-12-31,110,Mauritius,mauritius,MRI,7.0,0.0,7.0
1992,2,1992-12-31,110,Croatia,croatia,CRO,7.0,0.0,7.0
1992,2,1992-12-31,110,Barbados,barbados,BRB,7.0,0.0,7.0
1992,2,1992-12-31,114,Yemen,yemen,YEM,6.0,0.0,6.0
1992,2,1992-12-31,114,Oman,oman,OMA,6.0,0.0,6.0
1992,2,1992-12-31,114,Guinea-Bissau,guineabissau,GNB,6.0,0.0,6.0
1992,2,1992-12-31,114,St. Lucia,st lucia,LCA,6.0,0.0,6.0
1992,2,1992-12-31,118,Hong Kong,hong kong,HKG,5.0,0.0,5.0
1992,2,1992-12-31,118,Panama,panama,PAN,5.0,0.0,5.0
1992,2,1992-12-31,118,Grenada,grenada,GRN,5.0,0.0,5.0
1992,2,1992-12-31,118,Puerto Rico,puerto rico,PUR,5.0,0.0,5.0
1992,2,1992-12-31,118,Tahiti,tahiti,TAH,5.0,0.0,5.0
1992,2,1992-12-31,118,South Africa,south africa,RSA,5.0,0.0,5.0
1992,2,1992-12-31,118,Venezuela,venezuela,VEN,5.0,0.0,5.0
1992,2,1992-12-31,125,San Marino,san marino,SMR,4.0,0.0,4.0
1992,2,1992-12-31,125,Benin,benin,BEN,4.0,0.0,4.0
1992,2,1992-12-31,125,Guyana,guyana,GUY,4.0,0.0,4.0
1992,2,1992-12-31,125,Ukraine,ukraine,UKR,4.0,0.0,4.0
1992,2,1992-12-31,125,Haiti,haiti,HAI,4.0,0.0,4.0
1992,2,1992-12-31,130,Slovenia,slovenia,SVN,3.0,0.0,3.0
1992,2,1992-12-31,130,Estonia,estonia,EST,3.0,0.0,3.0
1992,2,1992-12-31,130,Bangladesh,bangladesh,BAN,3.0,0.0,3.0
1992,2,1992-12-31,130,Mauritania,mauritania,MTN,3.0,0.0,3.0
1992,2,1992-12-31,130,Cape Verde Islands,cape verde,CPV,3.0,0.0,3.0
1992,2,1992-12-31,135,Solomon Islands,solomon islands,SOL,2.0,0.0,2.0
1992,2,1992-12-31,135,Libya,libya,LBY,2.0,0.0,2.0
1992,2,1992-12-31,135,Botswana,botswana,BOT,2.0,0.0,2.0
1992,2,1992-12-31,135,Brunei Darussalam,brunei darussalam,BRU,2.0,0.0,2.0
1992,2,1992-12-31,135,Dominican Republic,dominican republic,DOM,2.0,0.0,2.0
1992,2,1992-12-31,135,Lesotho,lesotho,LES,2.0,0.0,2.0
1992,2,1992-12-31,135,India,india,IND,2.0,0.0,2.0
1992,2,1992-12-31,142,Cuba,cuba,CUB,1.0,0.0,1.0
1992,2,1992-12-31,142,Pakistan,pakistan,PAK,1.0,0.0,1.0
1992,2,1992-12-31,142,Belarus,belarus,BLR,1.0,0.0,1.0
1992,2,1992-12-31,142,Seychelles,seychelles,SEY,1.0,0.0,1.0
1992,2,1992-12-31,142,Central African Republic,central african republic,CTA,1.0,0.0,1.0
1992,2,1992-12-31,142,Nepal,nepal,NEP,1.0,0.0,1.0
1992,2,1992-12-31,142,Gambia,gambia,GAM,1.0,0.0,1.0
1992,2,1992-12-31,149,Equatorial Guinea,equatorial guinea,EQG,0.0,0.0,0.0
1992,2,1992-12-31,149,Myanmar,myanmar,MYA,0.0,0.0,0.0
1992,2,1992-12-31,149,Liechtenstein,liechtenstein,LIE,0.0,0.0,0.0
1992,2,1992-12-31,149,Nicaragua,nicaragua,NCA,0.0,0.0,0.0
1992,2,1992-12-31,149,Chad,chad,CHA,0.0,0.0,0.0
1992,2,1992-12-31,149,Chinese Taipei,chinese taipei,TPE,0.0,0.0,0.0
1992,2,1992-12-31,149,Philippines,philippines,PHI,0.0,0.0,0.0
1992,2,1992-12-31,149,Namibia,namibia,NAM,0.0,0.0,0.0
1992,2,1992-12-31,149,Vanuatu,vanuatu,VAN,0.0,0.0,0.0
1992,2,1992-12-31,149,Aruba,aruba,ARU,0.0,0.0,0.0
1992,2,1992-12-31,149,Lebanon,lebanon,LBN,0.0,0.0,0.0
1992,2,1992-12-31,149,Bahamas,bahamas,BAH,0.0,0.0,0.0
1992,2,1992-12-31,149,Maldives,maldives,MDV,0.0,0.0,0.0
1992,2,1992-12-31,149,Rwanda,rwanda,RWA,0.0,0.0,0.0
1992,2,1992-12-31,149,Somalia,somalia,SOM,0.0,0.0,0.0
1993,1,1993-06-30,1,Germany,germany,GER,58.0,57.0,1.0
1993,1,1993-06-30,2,Italy,italy,ITA,57.0,57.0,0.0
1993,1,1993-06-30,2,Switzerland,switzerland,SUI,57.0,51.0,6.0
1993,1,1993-06-30,4,Sweden,sweden,SWE,56.0,56.0,0.0
1993,1,1993-06-30,4,Argentina,argentina,ARG,56.0,51.0,5.0
1993,1,1993-06-30,6,Republic of Ireland,ireland,IRL,55.0,54.0,1.0
1993,1,1993-06-30,6,Russia,russia,RUS,55.0,52.0,3.0
1993,1,1993-06-30,8,Brazil,brazil,BRA,54.0,56.0,-2.0
1993,1,1993-06-30,8,Norway,norway,NOR,54.0,49.0,5.0
1993,1,1993-06-30,10,Denmark,denmark,DEN,53.0,52.0,1.0
1993,1,1993-06-30,10,England,england,ENG,53.0,55.0,-2.0
1993,1,1993-06-30,12,France,france,FRA,52.0,46.0,6.0
1993,1,1993-06-30,13,Spain,spain,ESP,51.0,49.0,2.0
1993,1,1993-06-30,14,Mexico,mexico,MEX,50.0,43.0,7.0
1993,1,1993-06-30,14,Czechoslovakia,czechoslovakia,TCH,50.0,47.0,3.0
1993,1,1993-06-30,14,Netherlands,netherlands,NED,50.0,54.0,-4.0
1993,1,1993-06-30,14,Nigeria,nigeria,NGA,50.0,50.0,0.0
1993,1,1993-06-30,18,Belgium,belgium,BEL,48.0,48.0,0.0
1993,1,1993-06-30,18,Colombia,colombia,COL,48.0,36.0,12.0
1993,1,1993-06-30,18,Poland,poland,POL,48.0,46.0,2.0
1993,1,1993-06-30,21,Romania,romania,ROU,47.0,51.0,-4.0
1993,1,1993-06-30,22,Uruguay,uruguay,URU,46.0,48.0,-2.0
1993,1,1993-06-30,22,Portugal,portugal,POR,46.0,38.0,8.0
1993,1,1993-06-30,24,Cameroon,cameroon,CMR,45.0,43.0,2.0
1993,1,1993-06-30,24,Zambia,zambia,ZAM,45.0,38.0,7.0
1993,1,1993-06-30,26,Egypt,egypt,EGY,44.0,45.0,-1.0
1993,1,1993-06-30,26,Wales,wales,WAL,44.0,40.0,4.0
1993,1,1993-06-30,26,USA,united states,USA,44.0,43.0,1.0
1993,1,1993-06-30,29,Côte d'Ivoire,côte divoire,CIV,43.0,41.0,2.0
1993,1,1993-06-30,30,Scotland,scotland,SCO,42.0,43.0,-1.0
1993,1,1993-06-30,31,Tunisia,tunisia,TUN,40.0,35.0,5.0
1993,1,1993-06-30,31,Greece,greece,GRE,40.0,38.0,2.0
1993,1,1993-06-30,31,Morocco,morocco,MAR,40.0,32.0,8.0
1993,1,1993-06-30,31,Algeria,algeria,ALG,40.0,39.0,1.0
1993,1,1993-06-30,31,Ecuador,ecuador,ECU,40.0,23.0,17.0
1993,1,1993-06-30,31,Korea Republic,south korea,KOR,40.0,28.0,12.0
1993,1,1993-06-30,37,Bulgaria,bulgaria,BUL,39.0,41.0,-2.0
1993,1,1993-06-30,37,Austria,austria,AUT,39.0,38.0,1.0
1993,1,1993-06-30,39,Costa Rica,costa rica,CRC,38.0,35.0,3.0
1993,1,1993-06-30,40,Northern Ireland,northern ireland,NIR,37.0,31.0,6.0
1993,1,1993-06-30,40,Honduras,honduras,HON,37.0,32.0,5.0
1993,1,1993-06-30,40,Hungary,hungary,HUN,37.0,36.0,1.0
1993,1,1993-06-30,43,Japan,japan,JPN,35.0,22.0,13.0
1993,1,1993-06-30,44,Saudi Arabia,saudi arabia,KSA,34.0,28.0,6.0
1993,1,1993-06-30,44,China PR,china,CHN,34.0,26.0,8.0
1993,1,1993-06-30,44,Canada,canada,CAN,34.0,25.0,9.0
1993,1,1993-06-30,44,Finland,finland,FIN,34.0,31.0,3.0
1993,1,1993-06-30,44,Ghana,ghana,GHA,34.0,34.0,0.0
1993,1,1993-06-30,44,Chile,chile,CHI,34.0,28.0,6.0
1993,1,1993-06-30,50,Zimbabwe,zimbabwe,ZIM,33.0,27.0,6.0
1993,1,1993-06-30,51,Qatar,qatar,QAT,32.0,27.0,5.0
1993,1,1993-06-30,51,Australia,australia,AUS,32.0,29.0,3.0
1993,1,1993-06-30,51,Iceland,iceland,ISL,32.0,29.0,3.0
1993,1,1993-06-30,51,IR Iran,iran,IRN,32.0,24.0,8.0
1993,1,1993-06-30,55,United Arab Emirates,united arab emirates,UAE,31.0,25.0,6.0
1993,1,1993-06-30,55,Yugoslavia,yugoslavia,YUG,31.0,39.0,-8.0
1993,1,1993-06-30,55,Iraq,iraq,IRQ,31.0,15.0,16.0
1993,1,1993-06-30,55,Senegal,senegal,SEN,31.0,27.0,4.0
1993,1,1993-06-30,55,Bolivia,bolivia,BOL,31.0,14.0,17.0
1993,1,1993-06-30,60,Kuwait,kuwait,KUW,30.0,21.0,9.0
1993,1,1993-06-30,60,Korea DPR,korea dpr,PRK,30.0,16.0,14.0
1993,1,1993-06-30,60,El Salvador,el salvador,SLV,30.0,28.0,2.0
1993,1,1993-06-30,63,Turkey,turkey,TUR,29.0,31.0,-2.0
1993,1,1993-06-30,63,Gabon,gabon,GAB,29.0,27.0,2.0
1993,1,1993-06-30,65,Guinea,guinea,GUI,28.0,24.0,4.0
1993,1,1993-06-30,66,Thailand,thailand,THA,27.0,18.0,9.0
1993,1,1993-06-30,66,Paraguay,paraguay,PAR,27.0,22.0,5.0
1993,1,1993-06-30,66,Malawi,malawi,MWI,27.0,27.0,0.0
1993,1,1993-06-30,69,Israel,israel,ISR,26.0,23.0,3.0
1993,1,1993-06-30,69,Peru,peru,PER,26.0,16.0,10.0
1993,1,1993-06-30,71,Zaire,zaire,ZAI,25.0,25.0,0.0
1993,1,1993-06-30,71,Cyprus,cyprus,CYP,25.0,20.0,5.0
1993,1,1993-06-30,73,Singapore,singapore,SGP,24.0,13.0,11.0
1993,1,1993-06-30,73,Mali,mali,MLI,24.0,22.0,2.0
1993,1,1993-06-30,75,Malaysia,malaysia,MAS,22.0,13.0,9.0
1993,1,1993-06-30,75,Bermuda,bermuda,BER,22.0,25.0,-3.0
1993,1,1993-06-30,77,Niger,niger,NIG,21.0,15.0,6.0
1993,1,1993-06-30,77,Syria,syria,SYR,21.0,11.0,10.0
1993,1,1993-06-30,77,Bahrain,bahrain,BHR,21.0,13.0,8.0
1993,1,1993-06-30,77,New Zealand,new zealand,NZL,21.0,22.0,-1.0
1993,1,1993-06-30,77,Madagascar,madagascar,MAD,21.0,18.0,3.0
1993,1,1993-06-30,82,Malta,malta,MLT,19.0,19.0,0.0
1993,1,1993-06-30,82,Jamaica,jamaica,JAM,19.0,22.0,-3.0
1993,1,1993-06-30,82,Lithuania,lithuania,LTU,19.0,12.0,7.0
1993,1,1993-06-30,85,Trinidad and Tobago,trinidad and tobago,TRI,18.0,24.0,-6.0
1993,1,1993-06-30,85,Sierra Leone,sierra leone,SLE,18.0,16.0,2.0
1993,1,1993-06-30,87,Jordan,jordan,JOR,17.0,8.0,9.0
1993,1,1993-06-30,87,Kenya,kenya,KEN,17.0,17.0,0.0
1993,1,1993-06-30,87,Latvia,latvia,LVA,17.0,10.0,7.0
1993,1,1993-06-30,87,Yemen,yemen,YEM,17.0,6.0,11.0
1993,1,1993-06-30,91,Tanzania,tanzania,TAN,15.0,15.0,0.0
1993,1,1993-06-30,91,Albania,albania,ALB,15.0,14.0,1.0
1993,1,1993-06-30,91,Angola,angola,ANG,15.0,10.0,5.0
1993,1,1993-06-30,94,Venezuela,venezuela,VEN,14.0,5.0,9.0
1993,1,1993-06-30,94,Ethiopia,ethiopia,ETH,14.0,14.0,0.0
1993,1,1993-06-30,94,Burundi,burundi,BDI,14.0,10.0,4.0
1993,1,1993-06-30,94,Oman,oman,OMA,14.0,6.0,8.0
1993,1,1993-06-30,94,Indonesia,indonesia,IDN,14.0,9.0,5.0
1993,1,1993-06-30,99,Liberia,liberia,LBR,12.0,15.0,-3.0
1993,1,1993-06-30,99,Mozambique,mozambique,MOZ,12.0,9.0,3.0
1993,1,1993-06-30,99,Puerto Rico,puerto rico,PUR,12.0,5.0,7.0
1993,1,1993-06-30,99,Eswatini,eswatini,SWZ,12.0,10.0,2.0
1993,1,1993-06-30,99,Hong Kong,hong kong,HKG,12.0,5.0,7.0
1993,1,1993-06-30,104,Uganda,uganda,UGA,11.0,12.0,-1.0
1993,1,1993-06-30,104,Barbados,barbados,BRB,11.0,7.0,4.0
1993,1,1993-06-30,104,Myanmar,myanmar,MYA,11.0,0.0,11.0
1993,1,1993-06-30,104,Congo,congo,CGO,11.0,13.0,-2.0
1993,1,1993-06-30,104,Lebanon,lebanon,LBN,11.0,0.0,11.0
1993,1,1993-06-30,104,South Africa,south africa,RSA,11.0,5.0,6.0
1993,1,1993-06-30,104,Luxembourg,luxembourg,LUX,11.0,10.0,1.0
1993,1,1993-06-30,104,Faroe Islands,faroe islands,FRO,11.0,12.0,-1.0
1993,1,1993-06-30,112,Guatemala,guatemala,GUA,10.0,15.0,-5.0
1993,1,1993-06-30,112,Burkina Faso,burkina faso,BFA,10.0,11.0,-1.0
1993,1,1993-06-30,112,Togo,togo,TOG,10.0,10.0,0.0
1993,1,1993-06-30,115,Suriname,suriname,SUR,9.0,12.0,-3.0
1993,1,1993-06-30,115,Fiji,fiji,FIJ,9.0,9.0,0.0
1993,1,1993-06-30,115,Croatia,croatia,CRO,9.0,7.0,2.0
1993,1,1993-06-30,118,Estonia,estonia,EST,8.0,3.0,5.0
1993,1,1993-06-30,118,San Marino,san marino,SMR,8.0,4.0,4.0
1993,1,1993-06-30,118,Bangladesh,bangladesh,BAN,8.0,3.0,5.0
1993,1,1993-06-30,118,St. Vincent and the Grenadines,st vincent and the grenadines,VIN,8.0,9.0,-1.0
1993,1,1993-06-30,118,Mauritius,mauritius,MRI,8.0,7.0,1.0
1993,1,1993-06-30,123,Benin,benin,BEN,7.0,4.0,3.0
1993,1,1993-06-30,123,Panama,panama,PAN,7.0,5.0,2.0
1993,1,1993-06-30,123,Sudan,sudan,SDN,7.0,7.0,0.0
1993,1,1993-06-30,123,Antigua and Barbuda,antigua and barbuda,ATG,7.0,8.0,-1.0
1993,1,1993-06-30,127,Slovenia,slovenia,SVN,6.0,3.0,3.0
1993,1,1993-06-30,127,India,india,IND,6.0,2.0,4.0
1993,1,1993-06-30,129,Belarus,belarus,BLR,5.0,1.0,4.0
1993,1,1993-06-30,129,Ukraine,ukraine,UKR,5.0,4.0,1.0
1993,1,1993-06-30,129,Vietnam,vietnam,VIE,5.0,0.0,5.0
1993,1,1993-06-30,129,Guinea-Bissau,guineabissau,GNB,5.0,6.0,-1.0
1993,1,1993-06-30,129,Guyana,guyana,GUY,5.0,4.0,1.0
1993,1,1993-06-30,129,Botswana,botswana,BOT,5.0,2.0,3.0
1993,1,1993-06-30,135,St. Lucia,st lucia,LCA,4.0,6.0,-2.0
1993,1,1993-06-30,135,Tahiti,tahiti,TAH,4.0,5.0,-1.0
1993,1,1993-06-30,135,Grenada,grenada,GRN,4.0,5.0,-1.0
1993,1,1993-06-30,138,Haiti,haiti,HAI,3.0,4.0,-1.0
1993,1,1993-06-30,139,Libya,libya,LBY,2.0,2.0,0.0
1993,1,1993-06-30,139,Laos,laos,LAO,2.0,0.0,2.0
1993,1,1993-06-30,139,Mauritania,mauritania,MTN,2.0,3.0,-1.0
1993,1,1993-06-30,139,Cape Verde Islands,cape verde,CPV,2.0,3.0,-1.0
1993,1,1993-06-30,139,Solomon Islands,solomon islands,SOL,2.0,2.0,0.0
1993,1,1993-06-30,139,Brunei Darussalam,brunei darussalam,BRU,2.0,2.0,0.0
1993,1,1993-06-30,139,Lesotho,lesotho,LES,2.0,2.0,0.0
1993,1,1993-06-30,139,Dominican Republic,dominican republic,DOM,2.0,2.0,0.0
1993,1,1993-06-30,147,Pakistan,pakistan,PAK,1.0,1.0,0.0
1993,1,1993-06-30,147,Nicaragua,nicaragua,NCA,1.0,0.0,1.0
1993,1,1993-06-30,147,Cuba,cuba,CUB,1.0,1.0,0.0
1993,1,1993-06-30,147,Seychelles,seychelles,SEY,1.0,1.0,0.0
1993,1,1993-06-30,147,Central African Republic,central african republic,CTA,1.0,1.0,0.0
1993,1,1993-06-30,147,Gambia,gambia,GAM,1.0,1.0,0.0
1993,1,1993-06-30,153,Namibia,namibia,NAM,0.0,0.0,0.0
1993,1,1993-06-30,153,Cayman Islands,cayman islands,CAY,0.0,0.0,0.0
1993,1,1993-06-30,153,Nepal,nepal,NEP,0.0,1.0,-1.0
1993,1,1993-06-30,153,Liechtenstein,liechtenstein,LIE,0.0,0.0,0.0
1993,1,1993-06-30,153,Equatorial Guinea,equatorial guinea,EQG,0.0,0.0,0.0
1993,1,1993-06-30,153,Chinese Taipei,chinese taipei,TPE,0.0,0.0,0.0
1993,1,1993-06-30,153,Sri Lanka,sri lanka,SRI,0.0,0.0,0.0
1993,1,1993-06-30,153,Philippines,philippines,PHI,0.0,0.0,0.0
1993,1,1993-06-30,153,Chad,chad,CHA,0.0,0.0,0.0
1993,1,1993-06-30,153,Vanuatu,vanuatu,VAN,0.0,0.0,0.0
1993,1,1993-06-30,153,Aruba,aruba,ARU,0.0,0.0,0.0
1993,1,1993-06-30,153,Bahamas,bahamas,BAH,0.0,0.0,0.0
1993,1,1993-06-30,153,Macau,macau,MAC,0.0,0.0,0.0
1993,1,1993-06-30,153,Maldives,maldives,MDV,0.0,0.0,0.0
1993,2,1993-12-31,1,Germany,germany,GER,59.0,59.0,0.0
1993,2,1993-12-31,1,Italy,italy,ITA,59.0,60.0,-1.0
1993,2,1993-12-31,1,Brazil,brazil,BRA,59.0,58.0,1.0
1993,2,1993-12-31,4,Norway,norway,NOR,58.0,58.0,0.0
1993,2,1993-12-31,5,Spain,spain,ESP,57.0,57.0,0.0
1993,2,1993-12-31,5,Denmark,denmark,DEN,57.0,57.0,0.0
1993,2,1993-12-31,5,Netherlands,netherlands,NED,57.0,59.0,-2.0
1993,2,1993-12-31,8,Argentina,argentina,ARG,55.0,55.0,0.0
1993,2,1993-12-31,8,Sweden,sweden,SWE,55.0,55.0,0.0
1993,2,1993-12-31,10,Republic of Ireland,ireland,IRL,54.0,54.0,0.0
1993,2,1993-12-31,10,England,england,ENG,54.0,56.0,-2.0
1993,2,1993-12-31,10,Switzerland,switzerland,SUI,54.0,55.0,-1.0
1993,2,1993-12-31,13,Romania,romania,ROU,52.0,55.0,-3.0
1993,2,1993-12-31,13,Russia,russia,RUS,52.0,52.0,0.0
1993,2,1993-12-31,13,France,france,FRA,52.0,52.0,0.0
1993,2,1993-12-31,16,Mexico,mexico,MEX,51.0,51.0,0.0
1993,2,1993-12-31,16,Uruguay,uruguay,URU,51.0,51.0,0.0
